existing,alias,docstring,comment
take,toma
drop,baja
inc,carga,,translated to "load" in english
dec,extracto,,based soley on translation. need more info/context to decide what connotations/denotations would be best
range,gama
take-while,toma-mientras
drop-while,baja-mientras
map,mapa
hash-map,hachís-mapa
list,enumera
set,pone
hash-set,hachís-pone,,could use fijo or colocar as "set"
atom,átomo
agent,agencia,,or agente
first,primero
second,segundo
last,último
butlast,pero-último,,not sure of what this should communicate.
rest,lodemás,,should we separate the words into "lo demás" or shorten it to "demás"? Could also use "el resto"
next,próximo,,this is used in the present, but "siguiente" is used in the past. Not sure which makes more sense.
true,cierto
false,falso
print,imprime
println,imprimeln,,ln means "line" in English, and line in spanish is simply "linea" so I thought it appropriate to keep it.
filter,forma
remove,quita
keep,guardar
slurp,ventosa,,if this should be a verb, use "sorber"
spit,escupe,,could be "saliva" if it's not an action
seq,sec,,short for "secuenciar"
dorun,hazcorrer,,could also just use "haz" meaning "do"
doall,haztodo,,literally means do it all
str,crd,,short for "cuerda" which translates to string
interpose,interpone
find,encuentra
get,consigue
apply,aplica
count,cuenta
every?,cada?
true?,cierto?
false?,falso?
concat,social
identity,identidad
reverse,invierte
some,alguno
flatten,aplana
boolean,booleano,,sounds like English but couldn't find a more specific word
if,si
when,cuando
if-not,si-no
when-not,cuando-no
let,deja
and,y
or,o
not,no
loop,darvuelta,,actually two words "dar vuelta"
doseq,hazsec
for,para,,could be por, but I think para fits the function better
cond,dependela,,means "depending on the ..." --> dependiendo de la
do,haz
